"judul_webtoon","sinopsis_webtoon"
"Purely Roommates","Akibat gagal di undian asrama, Oh Sojung terpaksa tinggal bersama sahabat kakaknya, Cha Kangwoo. Walau kamar yang ia dapatkan jauh lebih bagus dibanding di asrama, Oh Sojung kerap merasa tak nyaman dengan sikap Cha Kangwoo yang dingin dan galak. Seakan tak cukup bertemu di rumah, Oh Sojung juga harus bertemu Cha Kangwoo yang menjadi ketua tim di tempat magangnya. Mampukah Oh Sojung melumerkan sikap dan hati Cha Kangwoo yang sedingin es? Siapkan hati untuk deg-degan bareng karakter baru dari author ""Bite Me""!
"
"Sisters at War","Won Rion dan Chu Haera adalah murid juara 1 dan juara 2 di sebuah SMA kesenian. Keduanya sama-sama jenius dan seniman yang berbakat, namun memiliki nasib hidup yang jauh berbeda. Pada suatu hari, Chu Haera menemukan bukti-bukti yang membuatnya curiga kalau Won Rion yang selama ini dikenalnya adalah Won Rion ‘palsu’, dan kebenaran yang kemudian tersingkap pun menyulut kompetisi berdarah di antara mereka! 
"
"The Predator’s Fiancée","Elisha hidup menderita sejak menjadi jaminan dari hutang ayahnya untuk keluarga Cartier. Dia hidup dengan diperlakukan semena-mena, namun di saat terakhir hidupnya, ia kembali ke masa lalu!
Untuk mencegah masa depan yang menderita itu, Elisha pun bertekat untuk mendekati Lucheren, jenderal perang paling ditakuti yang sama-sama menginginkan kekuasaan keluarga Cartier."
"Gula-Gula","Indah, seorang murid SD yang gemar menyontek naksir pada sesosok pangeran baik hati yang memberinya gula-gula agar tidak menangis. Ternyata di tahun ajaran baru mereka sekelas, tapi... tidak semudah itu Ferguso! Ada anak lain yang naksir pangeran! Keseharian bocil-bocil ini kocak dan semanis gula-gula!"
"Villain with a Crush","Park Rosa menemukan tambatan hati baru di sosok polisi khusus tampan bernama Han Doryeong segera setelah ia ditolak oleh cinta pertamanya. Sayangnya, Park Rosa berkali-kali gagal menemui Han Doryeong yang kepopulerannya menyaingi bintang idola. Park Rosa pun memutar otak demi mendekati sang penyelamat, dan menemukan satu cara yaitu dengan menjadi... penjahat?"
"Pak Guru Inyong: Pendidikan Khusus","Pak Guru Inyong sekarang sudah jadi PNS, lho! Kali ini beliau dipindahtugaskan ke sekolah dengan murid-murid yang istimewa. Meski kesulitan pada awalnya, namun Pak Inyong bertekad akan mengabdi setulus hati."
"Maybe Good Morning","Saat mencari investor untuk ekspansi bisnis perusahaannya, Jin Leeyeong malah dihadapkan dengan kontrak nikah. Pasangan kontraknya adalah putra kedua Grup Taesong, Gu Gyoheon. Meskipun tampan, ia juga terkenal bodoh dan pemalas, dan kehidupan pribadinya dipenuhi gosip dan skandal. Akan tetapi, ternyata Gu Gyoheon tak seburuk itu. Ia bahkan mendekati Jin Leeyeong seolah-olah ia benar-benar menyukainya! Apakah Gu Gyoheon sungguh menyimpan rasa padanya? Atau ini semua hanya taktik demi melancarkan rencana bisnisnya? Apa sebenarnya niat pria ini?"
"Can the Grand Duke and the Marquis be Friends?","Obet Alphons terpaksa menggantikan kembarannya—Ordo Alphons yang sedang sakit—untuk menghadiri upacara sumpah kesetiaan. Berkat penampilan mereka yang identik, segalanya berjalan lancar sampai Obet bertemu dengan Hinn Rehoboam, putra tunggal Duke Agung Rehoboam yang mengancam akan membongkar rahasianya. Meski Obet sudah berusaha menghindari Hinn, tapi takdir malah mempertemukan keduanya di sekolah yang sama! Apakah rahasia Obet akan tetap aman dengan kemunculan Hinn?"
"My Dud to Stud Boyfriend","Yoon Sia dan Baek Siwon alias Sisi Couple yang eksis di sosial media putus! Setelah putus, Sia muncul dengan pacar baru bernama Kim Minho yang seorang otaku. 

Pasangan baru Sia dan Minho ternyata bersama untuk proyek mengubah penampilan Minho menjadi cowok tampan! Bagaimana hubungan keduanya setelah proyek ini berhasil, ya?"
"Mermaid Pond","Saat Dohee, seorang anak perempuan sebatang kara tengah mencari ibunya yang hilang, ia malah bertemu dengan Sihyun, seorang manusia duyung. Sihyun berjanji untuk membantu Dohee menemukan ibunya dan sebagai gantinya, Dohee perlu membantu Sihyun untuk menemukan cinta sejatinya untuk menjadi manusia seutuhnya. Namun, hal-hal janggal mulai terjadi di sekeliling Dohee. Apakah hilangnya sang ibu berhubungan dengan kemunculan Sihyun?"
