"judul_elex","sinopsis_elex"
"07 Ghost","Tubuh Ferloren telah lepas dari segelnya . Satu-satunya yang tersisa adalah menghalangi Ayanami selaku jiwanya untuk bersatu. Itulah yang akan diusahakan oleh Teito dan Frau untuk mencegah dunia ditelan oleh dewa kematian yang bangkit."
"100 days left","Shuto dan Chiho jadi harus tinggal bersama karena kondisi pekerjaan orangtua mereka . Tidak terbiasa tinggal bersama dan anak kecil yang tidak dikenalnya membuat Shuto mendapat banyak masalah. Tapi, mereka harus bertahan selama 3 bulan!"
"7 seeds","Proyek 7 Seeds diciptakan untuk menghindari kemusnahan umat manusia . Mereka yang telah terbangun dari tidur panjangnya harus terus berjuang dalam menghadapi lingkungan baru yang kejam... Kelompok yang telah menyeberang ke Kagijima yang terhubung dengan Sadogashima, mulai terpisah satu sama lain, tersesat di bawah tanah, dan harus menghadapi perjuangan yang berat. Di lain pihak, kelompok yang baru mendarat di Sadogashima mulai memeriksa pulau yang telah berubah drastis itu..."
"a couple of cuckoos","Erika Amano sang nona konglomerat dari SMA Putri dan Nagi Umino sang putra pemilik restoran tertukar saat bayi . Orangtua mereka yang manis memutuskan untuk menjodohkan anak kandung dengan anak yang mereka besarkan, lalu kedua anak muda itu pun terpaksa berusaha untuk akrab! Seperti apa keseharian dua orang yang dipermainkan oleh takdir yang nakal!?"
"a hedgehog in love","Di sekolah, Hozuki digosipkan tidak tertarik dengan orang lain dan senang berkelahi, namun Kii menganggapnya mirip dengan landak yang penuh waspada dan mulai mendekatinya!"
"a man and his cat","Ada seekor kucing dewasa yang tidak laku dijual di petshop . Semakin hari, harga jualnya semakin turun, sang kucing pun merasa putus asa dan ingin menyerah saja. Namun, suatu hari seorang pria muncul di hadapannya. Pria itu berucap, Saya menginginkan kucing itu. Inilah kisah sehari-hari yang hangat antara seorang pria dan kucing yang disayanginya."
"a meal makes her forget","Sachiko Sasaki adalah editor majalah sastra berusia 29 tahun . Pekerjaannya berjalan dengan lancar dan dia akan menikah. Selama ini dia menjalani kehidupan yang sempurna... hingga hari itu!! Dia mencari momen untuk lupa yang diperolehnya ketika makan makanan yang lezat dan mulai mencari berbagai macam masakan adiboga!"
"a spirit of the sun","Tiga orang pelarian dari Utara memulai kehidupan mereka di Daerah Restorasi dan bekerja di sana. Di saat itu, Ryo diutus menjadi jurnalis ke Jepang Selatan untuk mencari tahu tentang peran Munakata. Tak terduga, Munakata malah menyampaikan hal mengejutkan pada Ryo. Bukti-bukti yang Ryo bawa kembali dari Jepang Selatan pun membawa pergolakan!"
"a springtime with ninjas","Benio Kasugami, seorang nona muda keluarga kaya di Jepang, memiliki tradisi keluarga yang tak boleh dilanggar, ia harus menikah dengan cowok yang merebut ciuman pertamanya! Agar sang nona muda bisa bersekolah dengan normal, seorang ninja disewa untuk melindunginya . Dialah Tamaki, yang ternyata cowok playboy! Bagaimanakah jalinan hubungan kontrak seorang nona keras kepala dengan ninja yang suka bersikap seenaknya ini!?"
"a town where you live","Demi mengejar Yuzuki, Haruto memutuskan pindah sekolah ke Tokyo dan memulai kehidupan baru . Namun setelah 2 minggu ia belum berhasil juga menemui gadis itu. Haruto berusaha mencari cara lain, namun semuanya buntu Sampai akhirnya muncul kesempatan besar! Ia berhasil mendapat tiket masuk festival sekolah Yuzuki! mungkin inilah satu-satunya kesempatanku bertemu Eba!"
"ace of diamond","eijun sawamura menjadikan turnamen nasional antar smp sebagai tujuannya . tapi, di turnamen terakhir mereka kalah karena lemparannya menyimpang. di saat dia bersumpah untuk membalas dendam di sma bersama teman-temannya, datang seseorang yang ingin merekrutnya dari klub baseball sekolah elit, SMA Seido. Sawamura yang berkunjung untuk melihat-lihat, tiba-tiba saja menerima pencerahan dari sekolah elit tersebut! Pertemuannya dengan Miyuki, seorang catcher terkenal yang menjanjikan, telah membangkitkan hasrat membara Sawamura ke dunia baseball SMA!!"
"adamas","Esmeralda dan Hiromi diculik Jewerly Master wanita terkuat Shani sebagai umpan untuk memancing Reika! Apa sebenarnya tujuan Jewelry Master itu!? Apa kekuatannya sehingga bisa mengalahkan Esmeralsa dan Hiromi? Mampukah Reika menyelamatkan teman-temannya!?"
"after school charisma","Tahun 2xxx  di Saint Cleo, sekolah khusus untuk kloning orang-orang hebat dari seluruh dunia, Shiro Kamiya adalah satu-satunya siswa yang bukan kloning . Awalnya, Shiro melalui hari-hari yang damai bersama Napoleon dan teman-teman sekelasnya yang lain, namun Mozart yang menunjukkan rasa permusuhan kepadanya membuat dia memantapkan diri untuk mengajaknya berduel... Kisah fantasi sekolah di zaman yang baru dimulai di sini!!"
"air gear","Ikki Minami adalah pemimpin geng yang jago berantem dan dikenal dengan julukan Babyface . Namun, ketika dia dikalahkan secara memalukan oleh geng Stormrider, Skull Saders, geng tersebut meneror dan memeras para murid di sekolah Ikki. Ikki yang ingin menyelamatka teman-temannya kemudian dibantu oleh Sleeping Forest, geng pengguna Air Treck yang legendaris. Siapakah identitas Sleeping Forest sebenarnya? Bisakah Ikki mahir menggunakan Air Treck dengan cepat sebelum Skull Saders menduduki sekolah Ikki sepenuhnya?"
"akame ga kill","Tatsumi datang ke ibukota dengan tujuan sukses berkarier dalam militer di sana dan menolong desanya dari kemiskinan . Namun, pertemuannya dengan Akame dan Leone, anggota kelompok pembunuh bayaran Night Raid, mengubah hidupnya secara total! Kekagumannya pada ibukota pun terkikis setelah melihat sisi busuk ibukota yang sesungguhnya. Tatsumi pun akhirnya turut masuk ke Night Raid dengan tekad mengubah kerajaan."
"akizuki","Akizuki seorang pria berkualitas top dengan wajah tampan dan pekerjaan sebagai pegawai kantoran elite, tapi sayangnya masih bersikap layaknya remaja labil walau telah berumur 32 tahun . Lalu, ada juga Yusa, guru di tempat penitipan anak yang berumur 24 tahun dan sedikit polos. Simak jilid 1 kisah komedi romantis tentang keseharian rumit, konyol, dan (terkadang) mendebarkan dari keduanya!"
"alice academy","Kepsek SD mengadakan acara konser tahun baru dan mengundang Leo Mori sebagai artisnya! Hotaru dan kawan-kawan mengendus bahwa ada tujuan terselubung dari SD di balik semua ini, sehingga mereka menyusun rencana untuk mengantisipasi timbulnya hal-hal yang tidak diinginkan . Tampaknya Leo sendiri juga sudah memiliki rencana untuk mengambil Z dari sisi Kepsek SD. Apakah yang akan terjadi di konser itu?"
"alice in borderland","Muak dengan kesehariannya yang membosankan, seorang siswa SMA, Ryohei Arisu, berkeliaran di kota malam-malam bersama teman-teman badungnya yaitu Karube dan Chota . Tiba-tiba seluruh kota diselimuti cahaya kembang api raksasa dan saat ketiganya tersadar, semua manusia di sekitar mereka menghilang Malamnya, mereka tidak sengaja memasuki sebuah kuil dan terdapat pengumuman tentang dimulainya Game. Mereka harus menghadapi aneka soal tak masuk akal di mana salah langkah sedikit saja, nyawa mereka melayang. Saat itu, kemampuan terpendam Alice bangkit"
"alice on border road","Seorang siswi SMA, Alice Kojima, terbangun suatu pagi di kota Kyoto yang tampak puluhan tahun telantar dan tidak terlihat ada manusia satu pun . Dia akhirnya bertemu sepuluh pria dan wanita pemegang kartu remi bergambar wajah yang sama-sama hilang ingatan sepertinya. Namun, terjadi perbedaan pendapat antara ke Tokyo atau tetap tinggal. Satu per satu peristiwa mulai terjadi di tengah situasi yang ganjil dan direkayasa seseorang. Menghadapi kekejaman dunia, apa Alice bisa tiba di Tokyo hidup-hidup?"
"all rounder meguru","Meguru Takayanagi mencoba mencari cara bertarung yang lebih mudah digunakan daripada karate tradisional yang biasa dia lakukan saat kecil . Kemudian dia akhrinya belajar ke seni bela diri campuran, Shooto dan memulai jalannya untuk menjadi petarung profesional. Pada saat itulah, dia bertemu dengan teman masa kecilnya dan rahasia dibalik motivasi balas dendamnya."
"altair","Stratokrasi Turkiye dan Kekaisaran Baltrhain yang bertetangga telah lama berseteru . Pada suatu malam, seorang Menteri Kekaisaran ditemukan terbunuh, memperkeruh hubungan kedua negara! Di antara para jenderal yang memilih jalan perang, Mahmud menyadari adanya dalang di balik semua ini. Demi melindungi negara dan menjaga perdamaian, di sinilah pertarungan jenderal muda Mahmud dimulai!!"
"ami non stop","Saat Nozomu senang karena hubungannya dengan Ami diakui, Ami malah shock karena agensi memanfaatkan hubungan mereka! Di saat bersamaan, teman masa kecil Nozomu melakukan debut di Jepang . Bagaimana perkembangan hubungan Ami dan Nozomu selanjutnya?"
"ana ana","Ana ana bermimpi ingin menjadi pahlawan . Lantas, teman-teman kecilnya mempersiapkan kejutan besar untuknya"
"ana no mujina","Tadashi, pemuda SMU yang ingin hidup sebagai orang jujur . Namun dia memiliki kehidupan lain sebagai penipu yang mengincar para orang jahat. Semuanya dimulai sejak dia terkena kutukan dari siluman yang disebut Mujina. Berkat kutukan ini dia mendapatkan bakat menipu, tapi bersama itu juga, tubuhnya ketagihan dan bisa mati jika tidak terus menipu orang lain. Bersama rekan-rekannya, dia memilih jalan menjadi pembela kebenaran."
"angel heart","Rahasia kelahiran Miki ternyata berhubungan dengan raja dari suatu negara! Alasan Joy yang diincar karena mengkhianati tanah airnya pun berkaitan dengan rahasia itu . Apa sebenarnya hubungan Joy dan Miki? Kenapa Joy sampai rela berkhianat demi mencari Miki?"
"angel voice","SMU Ranzan kedatangan empat orang terbaik se-prefektur . Pelatih baru klub sepakbola, Kuroki Tetsuo, yang berniat mengumpulkan orang-orang yang dapat menyelamatkan klub, mengincar empat orang terbaik tersebut. Akankah empat orang terbaik tersebut bergabung dengan klub?"
"animal kingdom","Taroza memimpin para binatang mengerahkan segala upaya melawan Chimera dalam misi menyelamatkan Riemu dan menuju lantai teratas menara Babel . Taroza yang dalam keadaan kelelahan karena terus bertarung, diserang Chimera. Darahku panas! aku masih bisa maju"
"animal official","ADA MONSTER DI SEKOLAH! Eru Yamada masuk klub Animal Official, sebuah klub yang memelihara segala jenis binatang . Namun, ada anggota baru yang masuk, yang ternyata vampir!! Kemudian identitas guru pembimbing klub yang cukup mengejutkan pun terungkap! Ditambah lagi dengan kemunculan monster lain yang bertubi-tubi, Eru semakin terjebak dalam kesulitan!!"
"aoba bicycle","Hubungan Hibari dan Aoba masih belum akur . Tapi, tiba-tiba saja, Hibari berkata kalau mereka itu serupa, tapi tak sama. Apa maksudnya? Sementara itu, kepopuleran Skylark yang semakin memuncak, membuat jati diri Skylark yang sesungguhnya mulai terancam. Apa Aoba akan diam saja mengetahui hal itu?"
"apollon on the slope","Akhir tahun 60-an di Kyushu . Murid pindahan, Kaoru, bertemu murid berandalan, Sentaro, dan menjalin persahabatan lewat jazz. Setelah naik kelas, Kaoru dan Sentaro beda kelas. Suatu hari, Kaoru yang tahu Sentaro bergabung dengan band lain, teringat akan kenangan masa lalunya yang pahit dan meninggalkan Sentaro!?"
"area d","Tahun 20XX, manusia dengan kekuatan khusus muncul di tengah masyarakat . Ada yang bisa mengubah wujud tubuhnya, ada yang memiliki kekuatan supernatural, dan sebagainya. Orang-orang menyebut mereka Altered! 12 tahun kemudian, sekitar 80 orang berkumpul di salah satu bagian reruntuhan pelabuhan di suatu kota. Mereka semua adalah tahanan! Mereka akan akan dikirim ke pulau penjara terpencil, yang disebut Island D. Apa yang menanti mereka semua di sana!?"
"arpeggio of blue steel","Pada awal abad 21, terjadi perang besar antara manusia dengan makhluk misterius . Manusia menyebut makhluk berwujud kapal perang masa lampau itu sebagai Armada Kabut karena mereka muncul begitu saja. Dengan kekuatan perangnya yang besar, akhirnya manusia kalah dan kehilangan lautan, terkurung di darat. Tapi ada satu saja harapan. Satu kapal selam yang mengkhianati Armada Kabut dan para manusia yang menjadi awaknya, bertarung untuk mengembalikan kejayaan manusia."
"art investigation team","Seorang pemuda nyentrik yang suka menggambar dengan dibantu Horo Tsuyubarai yang maniak membaca buku detektif bekerja sama memecahkan berbagai kasus . Dan dalam pemecahannya selalu mengacu pada kisah Detektif Ray dan Ken. Apakah langkah yang mereka lakukan ini bisa berhasil?"
"asahi nagu","Orang yang bisa menang di musim panas hanyalah mereka yang sudah melihat neraka di musim dingin . Sambil memercayai ucapan itu, klub naginata Futatsuzaka berlatih keras di training camp Wakayama di mana orang-orang hebat berkumpul. Di tengah training camp, akhirnya jati diri sebenarnya sang penyelia baru mereka, Yasuko, terungkap. Ternyata, dia atlet terhebat se-Jepang saat masa kuliahnya! Sementara itu, di babak terakhir training camp, SMA Kumamoto Higashi yang setiap tahun memenangi interhigh muncul untuk berpartisipasi dalam latih tanding antarsekolah! Apakah Futatsuzaka dapat menunjukan hasil training camp mereka?"
"assassin creed","Kenapa Desmond Miles dikurung dalam laboratorium eksperimen rahasia dan yang sangat dijaga? Apa yang dicari oleh tim ilmiah yang terus mengejarnya? Rahasia besar apa yang terungkap dari memori genetiknya, yang terkubur dalam DNA-nya? mereka menyelidiki masa lalu nenek moyang Desmond, yang seluruhnya adalah anggota Assassins? Apa mereka tidak tahu bahaya membangunkan memori seorang Assassins, seorang pembunuh?"
"assassination classroom","Begitu aba-aba terdengar, mendadak seisi kelas dipenuhi suara tembakan!! Inilah kelas 3-E SMP Kunugigaoka, kelas pembunuh, di mana seluruh muridnya berlomba-lomba merenggut nyawa wali kelas mereka . Kehidupan yang jauh dari normal ketika Guru dan murid berubah menjadi Sasaran dan pembunuh pun dimulai..."
"asterix","Bencana menimpa desa Galia ketika sabit emas Panoramix, sang dukun, patah . Tanpa sabit emas, ia tidak dapat menghadiri konferensi dukun dan tidak mampu menggunting dedaunan sebagai bahan dari ramuan ajaib untuk melawan Romawi. Asterix dan temannya Obelix berangkat ke Lutetia untuk membeli sabit dari sepupu Obelix, Chluritix. Namun, Chluritix menghilang. Setelah mencari, Asterix dan Obelix membongkar sindikat perdagangan gelap sabit emas. Ketika semua telah terbongkar, mereka menyelamatkan Chluritix yang ditawan oleh sindikat, dan mereka pulang dengan sabit baru."
